condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
4F4K_incongruent,48,0,1,107,47.02,31.74,0.05,0.5,107,14389,Correct
4F4K_incongruent,48,1,2,97,50.78,34.21,0.06,0.54,108,4742,Incorrect
4F4K_incongruent,48,2,2,97,58.23,40.91,0.07,0.64,97,2900,Correct
4F4K_incongruent,48,3,2,108,46.36,55.68,0.05,0.87,97,4944,Incorrect
4F4K_incongruent,48,4,2,108,36.89,61.15,0.04,0.96,108,2505,Correct
4F4K_incongruent,48,5,2,97,52.71,27.02,0.06,0.42,97,1944,Correct
4F4K_incongruent,48,6,1,115,41.92,52.38,0.05,0.82,115,4168,Correct
4F4K_incongruent,48,7,1,107,54.43,27.68,0.06,0.43,107,2850,Correct
4F4K_incongruent,48,8,2,108,63.71,88.72,0.07,1.39,97,3433,Incorrect
4F4K_incongruent,48,9,2,97,66.25,33.29,0.07,0.52,97,999,Correct
4F4K_incongruent,48,10,2,97,62.79,33.95,0.07,0.53,97,1091,Correct
4F4K_incongruent,48,11,1,115,56.86,69.96,0.06,1.1,107,2711,Incorrect
4F4K_incongruent,48,12,1,107,88.59,67.12,0.1,1.05,115,936,Incorrect
4F4K_incongruent,48,13,2,97,42.72,29.95,0.05,0.47,108,3025,Incorrect
4F4K_incongruent,48,14,1,107,38.89,22.18,0.04,0.35,115,6838,Incorrect
4F4K_incongruent,48,15,1,115,59.69,78.89,0.07,1.24,115,1374,Correct
4F4K_incongruent,48,16,2,97,65.2,41.39,0.07,0.65,108,5732,Incorrect
4F4K_incongruent,48,17,2,97,74.85,52.22,0.08,0.82,97,1348,Correct
4F4K_incongruent,48,18,2,108,65.92,79.6,0.07,1.25,97,826,Incorrect
4F4K_incongruent,48,19,2,97,82.32,60.49,0.09,0.95,108,985,Incorrect
4F4K_incongruent,48,20,1,107,57.45,31.02,0.06,0.49,115,1753,Incorrect
4F4K_incongruent,48,21,2,97,72.68,55.49,0.08,0.87,97,4980,Correct
4F4K_incongruent,48,22,1,115,54.03,80.18,0.06,1.26,107,6580,Incorrect
4F4K_incongruent,48,23,1,107,57.38,45.8,0.06,0.72,115,4102,Incorrect
4F4K_incongruent,48,24,2,97,77.66,58.21,0.09,0.91,108,2877,Incorrect
4F4K_incongruent,48,25,2,108,30.79,62.17,0.03,0.98,97,6660,Incorrect
4F4K_incongruent,48,26,1,107,33.17,19.16,0.04,0.3,115,3579,Incorrect
4F4K_incongruent,48,27,2,97,49.03,19.29,0.05,0.3,97,2740,Correct
4F4K_incongruent,48,28,2,97,58.17,32.17,0.07,0.51,97,1619,Correct
4F4K_incongruent,48,29,2,108,53.08,64.34,0.06,1.01,108,929,Correct
4F4K_incongruent,48,30,1,107,46.81,28.71,0.05,0.45,115,4782,Incorrect
4F4K_incongruent,48,31,2,108,14.83,34.67,0.02,0.54,108,1972,Correct
4F4K_incongruent,48,32,2,97,63.68,46.28,0.07,0.73,97,1410,Correct
4F4K_incongruent,48,33,1,115,59.32,80.92,0.07,1.27,115,3248,Correct
4F4K_incongruent,48,34,2,97,38.28,22.43,0.04,0.35,97,2378,Correct
4F4K_incongruent,48,35,1,115,37.6,53.89,0.04,0.85,107,2427,Incorrect
4F4K_incongruent,48,36,1,115,29.1,58.5,0.03,0.92,115,729,Correct
4F4K_incongruent,48,37,1,107,70.07,41.63,0.08,0.65,107,1267,Correct
4F4K_incongruent,48,38,2,108,50.52,72.19,0.06,1.13,108,2024,Correct
4F4K_incongruent,48,39,1,115,57.25,77.79,0.06,1.22,115,1335,Correct
4F4K_incongruent,48,40,1,107,71.7,53.14,0.08,0.83,115,1535,Incorrect
4F4K_incongruent,48,41,2,97,47.06,18.19,0.05,0.29,108,3670,Incorrect
4F4K_incongruent,48,42,2,108,17.79,36.53,0.02,0.57,108,5651,Correct
4F4K_incongruent,48,43,1,107,78.03,59.72,0.09,0.94,115,1942,Incorrect
4F4K_incongruent,48,44,1,115,25.46,36.94,0.03,0.58,115,4252,Correct
4F4K_incongruent,48,45,2,108,14.28,30.95,0.02,0.49,108,1842,Correct
4F4K_incongruent,48,46,1,115,59.27,82.84,0.07,1.3,107,3440,Incorrect
4F4K_incongruent,48,47,2,97,55.41,29.97,0.06,0.47,108,6171,Incorrect
4F4K_incongruent,48,48,2,108,44.55,60.01,0.05,0.94,97,1001,Incorrect
4F4K_incongruent,48,49,2,108,32.45,41.42,0.04,0.65,108,1166,Correct
4F4K_incongruent,48,50,1,107,71.06,60.37,0.08,0.95,107,4543,Correct
4F4K_incongruent,48,51,1,115,22.04,40.04,0.02,0.63,115,1224,Correct
4F4K_incongruent,48,52,1,115,28.83,42.14,0.03,0.66,115,1024,Correct
4F4K_incongruent,48,53,2,97,78.18,65.74,0.09,1.03,97,4950,Correct
4F4K_incongruent,48,54,2,108,53.46,75.62,0.06,1.19,108,3168,Correct
4F4K_incongruent,48,55,1,115,53.57,62.46,0.06,0.98,115,5217,Correct
4F4K_incongruent,48,56,1,107,87.62,69.65,0.1,1.09,115,5249,Incorrect
4F4K_incongruent,48,57,1,107,62.52,33.31,0.07,0.52,115,2006,Incorrect
4F4K_incongruent,48,58,1,115,32.85,49.68,0.04,0.78,115,1582,Correct
4F4K_incongruent,48,59,2,97,87.76,66.35,0.1,1.04,97,3130,Correct
4F4K_incongruent,48,60,2,108,35.05,55.38,0.04,0.87,108,917,Correct
4F4K_incongruent,48,61,2,97,81.58,57.95,0.09,0.91,97,7080,Correct
4F4K_incongruent,48,62,1,107,51.44,40.48,0.06,0.64,107,6996,Correct
4F4K_incongruent,48,63,2,108,45.38,59.59,0.05,0.94,108,2577,Correct
4F4K_incongruent,48,64,1,107,74.06,55.09,0.08,0.87,107,4897,Correct
4F4K_incongruent,48,65,2,108,46.25,59.22,0.05,0.93,108,2336,Correct
4F4K_incongruent,48,66,1,107,44.19,25.26,0.05,0.4,107,1404,Correct
4F4K_incongruent,48,67,2,97,83.06,61.35,0.09,0.96,97,2938,Correct
4F4K_incongruent,48,68,1,107,78.96,64.18,0.09,1.01,107,5488,Correct
4F4K_incongruent,48,69,1,107,31.47,12.91,0.04,0.2,107,8341,Correct
4F4K_incongruent,48,70,2,108,40.25,47.94,0.05,0.75,108,1982,Correct
4F4K_incongruent,48,71,1,115,58.82,71.27,0.07,1.12,115,2725,Correct
