sub_id,group,trial,block,stim_freq,stim_orient,correct_category,response,correct,rt
17,RB,1,1,93.99,43.39,A,A,1,685.8
17,RB,2,1,63.75,77.15,A,A,1,631.2
17,RB,3,1,88.38,50.6,A,B,0,583.7
17,RB,4,1,70.86,70.61,A,B,0,600.2
17,RB,5,1,94.98,36.82,A,A,1,590.4
17,RB,6,1,17.52,74.85,B,A,0,776.0
17,RB,7,1,86.77,33.47,A,A,1,663.7
17,RB,8,1,92.54,10.69,A,A,1,689.3
17,RB,9,1,2.46,62.4,B,A,0,711.1
17,RB,10,1,3.49,38.34,B,B,1,652.6
17,RB,11,1,56.94,65.42,A,A,1,687.6
17,RB,12,1,34.35,1.63,B,A,0,593.4
17,RB,13,1,0.26,61.1,B,B,1,662.8
17,RB,14,1,47.86,67.48,B,A,0,656.5
17,RB,15,1,73.7,33.92,A,A,1,616.2
17,RB,16,1,48.14,20.29,B,B,1,647.3
17,RB,17,1,60.64,94.24,A,B,0,691.7
17,RB,18,1,18.12,18.02,B,B,1,721.9
17,RB,19,1,84.91,16.19,A,A,1,731.9
17,RB,20,1,39.6,60.7,B,A,0,680.9
17,RB,21,2,44.31,95.77,B,A,0,638.4
17,RB,22,2,48.78,81.06,B,B,1,654.2
17,RB,23,2,1.44,22.47,B,B,1,718.1
17,RB,24,2,72.51,23.63,A,B,0,590.2
17,RB,25,2,80.58,28.28,A,A,1,576.1
17,RB,26,2,28.8,10.06,B,B,1,593.3
17,RB,27,2,68.43,60.98,A,B,0,689.7
17,RB,28,2,65.29,16.5,A,B,0,867.2
17,RB,29,2,0.86,63.9,B,A,0,717.2
17,RB,30,2,72.44,74.14,A,A,1,668.5
17,RB,31,2,67.79,96.35,A,A,1,727.5
17,RB,32,2,96.16,70.74,A,B,0,704.1
17,RB,33,2,72.1,74.43,A,B,0,633.1
17,RB,34,2,4.08,81.04,B,A,0,653.9
17,RB,35,2,24.19,79.09,B,B,1,571.7
17,RB,36,2,97.58,98.63,A,B,0,631.4
17,RB,37,2,71.37,22.42,A,B,0,645.8
17,RB,38,2,75.93,18.51,A,B,0,593.0
17,RB,39,2,27.05,28.56,B,B,1,747.2
17,RB,40,2,9.18,80.22,B,A,0,578.8
17,RB,41,3,32.75,79.26,B,A,0,658.7
17,RB,42,3,17.75,8.27,B,B,1,731.5
17,RB,43,3,96.47,58.49,A,B,0,661.1
17,RB,44,3,80.2,34.68,A,B,0,641.2
17,RB,45,3,44.47,57.83,B,B,1,729.7
17,RB,46,3,41.83,79.46,B,A,0,492.3
17,RB,47,3,18.19,21.79,B,B,1,592.1
17,RB,48,3,95.74,24.21,A,B,0,627.2
17,RB,49,3,92.84,16.49,A,A,1,707.8
17,RB,50,3,21.72,77.55,B,B,1,584.9
17,RB,51,3,70.99,0.19,A,B,0,598.1
17,RB,52,3,24.23,82.04,B,A,0,626.4
17,RB,53,3,36.95,48.57,B,B,1,574.2
17,RB,54,3,63.92,13.44,A,A,1,745.7
17,RB,55,3,73.58,16.58,A,A,1,712.3
17,RB,56,3,7.74,88.18,B,A,0,784.9
17,RB,57,3,55.17,35.61,A,B,0,583.8
17,RB,58,3,15.06,79.68,B,A,0,589.4
17,RB,59,3,74.87,99.57,A,B,0,714.3
17,RB,60,3,58.58,61.3,A,B,0,537.9
17,RB,61,4,29.96,61.6,B,B,1,739.5
17,RB,62,4,71.75,64.01,A,B,0,666.8
17,RB,63,4,74.3,83.41,A,A,1,706.1
17,RB,64,4,66.99,90.76,A,B,0,528.8
17,RB,65,4,9.32,46.49,B,B,1,878.9
17,RB,66,4,95.98,36.63,A,A,1,692.6
17,RB,67,4,24.46,7.63,B,A,0,646.1
17,RB,68,4,61.67,68.95,A,A,1,718.6
17,RB,69,4,26.78,97.05,B,B,1,615.1
17,RB,70,4,34.33,98.74,B,B,1,632.6
17,RB,71,4,17.7,10.11,B,B,1,769.2
17,RB,72,4,64.2,18.14,A,A,1,592.2
17,RB,73,4,46.47,52.58,B,B,1,687.5
17,RB,74,4,17.66,43.63,B,B,1,630.1
17,RB,75,4,59.19,74.96,A,A,1,635.1
17,RB,76,4,4.02,98.49,B,B,1,734.1
17,RB,77,4,59.62,1.19,A,B,0,597.3
17,RB,78,4,75.19,47.88,A,A,1,643.0
17,RB,79,4,38.86,70.88,B,A,0,605.5
17,RB,80,4,21.76,98.19,B,B,1,696.0
17,RB,81,5,81.76,62.34,A,B,0,652.5
17,RB,82,5,95.74,79.51,A,B,0,694.8
17,RB,83,5,44.3,17.21,B,B,1,671.9
17,RB,84,5,31.82,2.52,B,B,1,750.1
17,RB,85,5,37.83,4.04,B,B,1,674.5
17,RB,86,5,57.78,20.84,A,B,0,672.9
17,RB,87,5,14.58,88.37,B,A,0,688.8
17,RB,88,5,20.12,48.04,B,A,0,649.6
17,RB,89,5,79.89,46.52,A,B,0,650.7
17,RB,90,5,83.39,18.78,A,A,1,697.7
17,RB,91,5,98.59,77.64,A,A,1,607.8
17,RB,92,5,65.92,29.03,A,A,1,681.1
17,RB,93,5,32.52,93.76,B,A,0,578.5
17,RB,94,5,95.07,95.56,A,B,0,704.9
17,RB,95,5,5.6,92.21,B,A,0,637.5
17,RB,96,5,52.04,2.25,A,A,1,614.7
17,RB,97,5,21.55,63.06,B,A,0,694.4
17,RB,98,5,98.86,42.76,A,A,1,632.4
17,RB,99,5,80.85,19.13,A,B,0,641.2
17,RB,100,5,84.9,79.25,A,B,0,579.8
17,RB,101,6,40.57,89.04,B,B,1,667.1
17,RB,102,6,98.7,49.12,A,A,1,668.8
17,RB,103,6,2.09,94.47,B,B,1,693.8
17,RB,104,6,15.97,3.18,B,B,1,563.5
17,RB,105,6,35.04,32.61,B,B,1,708.4
17,RB,106,6,64.79,80.84,A,B,0,640.1
17,RB,107,6,43.65,26.75,B,B,1,517.0
17,RB,108,6,1.17,32.73,B,B,1,554.5
17,RB,109,6,65.88,49.42,A,A,1,638.7
17,RB,110,6,69.85,49.22,A,B,0,697.1
17,RB,111,6,42.63,43.07,B,A,0,744.9
17,RB,112,6,19.77,16.15,B,B,1,566.6
17,RB,113,6,88.89,28.9,A,B,0,519.1
17,RB,114,6,43.31,54.38,B,A,0,654.4
17,RB,115,6,49.29,56.67,B,B,1,706.5
17,RB,116,6,6.61,17.74,B,A,0,652.4
17,RB,117,6,80.53,78.8,A,A,1,623.8
17,RB,118,6,11.75,60.43,B,A,0,670.7
17,RB,119,6,73.2,66.55,A,A,1,562.3
17,RB,120,6,15.07,20.39,B,B,1,540.9
17,RB,121,7,1.82,38.51,B,A,0,554.7
17,RB,122,7,35.93,29.94,B,B,1,581.6
17,RB,123,7,92.68,85.97,A,A,1,737.3
17,RB,124,7,69.26,4.02,A,B,0,575.1
17,RB,125,7,39.23,38.9,B,B,1,754.8
17,RB,126,7,34.83,19.12,B,B,1,625.0
17,RB,127,7,66.15,46.19,A,B,0,470.6
17,RB,128,7,84.39,12.19,A,A,1,525.2
17,RB,129,7,47.51,27.28,B,B,1,671.6
17,RB,130,7,20.18,26.33,B,B,1,599.1
17,RB,131,7,20.7,98.3,B,B,1,550.0
17,RB,132,7,80.08,45.91,A,A,1,535.2
17,RB,133,7,99.27,82.18,A,A,1,706.3
17,RB,134,7,27.46,87.15,B,B,1,645.8
17,RB,135,7,97.69,61.18,A,A,1,595.4
17,RB,136,7,14.55,14.44,B,B,1,762.2
17,RB,137,7,33.67,99.12,B,B,1,619.8
17,RB,138,7,43.41,89.17,B,B,1,698.4
17,RB,139,7,29.76,6.02,B,B,1,782.3
17,RB,140,7,76.36,20.62,A,A,1,719.4
17,RB,141,8,4.42,92.7,B,B,1,578.6
17,RB,142,8,5.63,4.71,B,A,0,827.7
17,RB,143,8,15.15,26.86,B,B,1,509.2
17,RB,144,8,34.33,13.3,B,B,1,682.5
17,RB,145,8,94.99,9.72,A,A,1,608.3
17,RB,146,8,69.34,34.12,A,A,1,609.0
17,RB,147,8,31.15,45.66,B,B,1,541.3
17,RB,148,8,96.64,63.24,A,A,1,594.0
17,RB,149,8,41.54,31.21,B,B,1,563.7
17,RB,150,8,76.57,53.2,A,A,1,639.8
17,RB,151,8,20.6,23.1,B,B,1,713.4
17,RB,152,8,40.52,45.6,B,B,1,647.2
17,RB,153,8,31.15,18.82,B,B,1,716.3
17,RB,154,8,60.63,56.93,A,A,1,733.7
17,RB,155,8,99.22,56.35,A,A,1,455.9
17,RB,156,8,51.84,45.79,A,A,1,584.3
17,RB,157,8,94.5,79.89,A,A,1,518.3
17,RB,158,8,78.25,32.83,A,A,1,778.6
17,RB,159,8,71.96,40.56,A,A,1,639.5
17,RB,160,8,98.27,30.6,A,A,1,610.2
17,RB,161,9,35.1,17.05,B,B,1,845.3
17,RB,162,9,51.05,49.29,A,A,1,655.8
17,RB,163,9,83.77,33.13,A,A,1,676.2
17,RB,164,9,4.65,44.96,B,A,0,697.9
17,RB,165,9,79.67,91.82,A,A,1,757.1
17,RB,166,9,60.51,4.23,A,A,1,742.2
17,RB,167,9,78.8,65.38,A,A,1,608.7
17,RB,168,9,4.52,11.09,B,B,1,650.7
17,RB,169,9,45.92,50.49,B,B,1,684.2
17,RB,170,9,9.62,11.21,B,B,1,734.5
17,RB,171,9,58.27,53.48,A,A,1,757.4
17,RB,172,9,34.79,9.61,B,B,1,646.8
17,RB,173,9,21.98,60.9,B,B,1,640.3
17,RB,174,9,34.54,8.32,B,B,1,567.5
17,RB,175,9,74.03,70.2,A,A,1,647.9
17,RB,176,9,36.63,82.44,B,B,1,610.1
17,RB,177,9,16.55,18.93,B,B,1,826.9
17,RB,178,9,37.15,93.38,B,B,1,679.9
17,RB,179,9,19.26,29.15,B,B,1,663.9
17,RB,180,9,15.66,34.24,B,B,1,763.5
17,RB,181,10,77.68,20.49,A,A,1,748.4
17,RB,182,10,74.32,41.12,A,A,1,578.0
17,RB,183,10,75.75,84.21,A,A,1,618.5
17,RB,184,10,0.54,68.52,B,B,1,575.6
17,RB,185,10,87.24,5.05,A,A,1,685.3
17,RB,186,10,71.49,31.21,A,A,1,604.9
17,RB,187,10,3.9,54.62,B,B,1,726.3
17,RB,188,10,6.2,78.94,B,A,0,591.7
17,RB,189,10,10.52,26.51,B,B,1,581.7
17,RB,190,10,59.57,0.81,A,A,1,667.8
17,RB,191,10,39.43,3.99,B,B,1,580.3
17,RB,192,10,21.57,98.43,B,A,0,721.8
17,RB,193,10,4.89,25.6,B,B,1,719.6
17,RB,194,10,10.02,45.69,B,B,1,700.5
17,RB,195,10,56.75,2.37,A,B,0,734.9
17,RB,196,10,22.67,9.23,B,B,1,603.7
17,RB,197,10,65.88,23.02,A,A,1,467.8
17,RB,198,10,66.12,97.42,A,A,1,578.1
17,RB,199,10,95.52,87.92,A,A,1,638.2
17,RB,200,10,15.12,25.8,B,B,1,751.5
17,RB,201,11,33.62,81.56,B,B,1,456.1
17,RB,202,11,87.05,32.17,A,A,1,719.1
17,RB,203,11,95.41,37.39,A,A,1,661.6
17,RB,204,11,55.09,9.67,A,B,0,719.3
17,RB,205,11,50.45,7.66,A,A,1,756.6
17,RB,206,11,19.49,71.16,B,B,1,612.6
17,RB,207,11,20.22,72.37,B,B,1,739.2
17,RB,208,11,83.39,12.44,A,A,1,698.7
17,RB,209,11,58.16,46.32,A,A,1,682.1
17,RB,210,11,65.58,93.15,A,A,1,671.4
17,RB,211,11,28.66,78.92,B,B,1,549.3
17,RB,212,11,85.98,74.3,A,A,1,688.8
17,RB,213,11,50.84,36.77,A,A,1,714.3
17,RB,214,11,15.62,1.04,B,B,1,764.6
17,RB,215,11,93.17,73.63,A,A,1,565.8
17,RB,216,11,91.54,89.66,A,A,1,622.9
17,RB,217,11,94.25,25.63,A,A,1,645.1
17,RB,218,11,57.36,29.78,A,A,1,570.5
17,RB,219,11,6.36,42.98,B,B,1,568.8
17,RB,220,11,32.8,28.57,B,B,1,660.3
17,RB,221,12,99.94,31.57,A,B,0,720.4
17,RB,222,12,72.13,70.3,A,A,1,599.7
17,RB,223,12,22.46,84.36,B,B,1,679.3
17,RB,224,12,52.9,35.4,A,A,1,597.4
17,RB,225,12,26.2,70.33,B,B,1,515.8
17,RB,226,12,41.21,23.15,B,B,1,746.6
17,RB,227,12,63.73,0.72,A,A,1,718.7
17,RB,228,12,73.79,51.35,A,A,1,670.9
17,RB,229,12,16.38,0.8,B,B,1,701.7
17,RB,230,12,25.77,74.2,B,B,1,733.9
17,RB,231,12,28.76,12.83,B,B,1,601.5
17,RB,232,12,88.37,65.97,A,A,1,637.8
17,RB,233,12,92.36,48.03,A,A,1,489.4
17,RB,234,12,34.5,20.76,B,B,1,817.4
17,RB,235,12,20.93,73.34,B,B,1,618.9
17,RB,236,12,99.85,57.24,A,A,1,647.9
17,RB,237,12,58.79,46.56,A,A,1,667.4
17,RB,238,12,76.24,86.99,A,A,1,702.1
17,RB,239,12,33.5,93.84,B,B,1,596.1
17,RB,240,12,66.96,20.62,A,A,1,756.6
17,RB,241,13,11.32,73.59,B,B,1,686.7
17,RB,242,13,78.31,73.85,A,A,1,585.6
17,RB,243,13,84.14,11.97,A,A,1,584.3
17,RB,244,13,65.23,47.59,A,A,1,485.7
17,RB,245,13,80.74,85.53,A,A,1,755.1
17,RB,246,13,53.94,38.08,A,A,1,478.9
17,RB,247,13,32.44,31.98,B,B,1,794.4
17,RB,248,13,93.06,39.54,A,A,1,673.3
17,RB,249,13,66.51,89.79,A,A,1,637.1
17,RB,250,13,33.1,55.85,B,B,1,690.1
17,RB,251,13,54.4,47.27,A,A,1,603.5
17,RB,252,13,40.67,79.8,B,B,1,683.2
17,RB,253,13,0.43,92.66,B,B,1,775.4
17,RB,254,13,55.88,18.27,A,A,1,588.1
17,RB,255,13,79.88,9.58,A,B,0,557.4
17,RB,256,13,41.42,0.58,B,B,1,744.0
17,RB,257,13,52.41,6.79,A,A,1,615.0
17,RB,258,13,37.02,78.61,B,B,1,660.8
17,RB,259,13,56.09,81.35,A,A,1,729.7
17,RB,260,13,68.46,43.59,A,A,1,711.4
17,RB,261,14,19.29,54.69,B,B,1,704.0
17,RB,262,14,81.32,94.68,A,A,1,572.7
17,RB,263,14,31.27,50.29,B,B,1,648.0
17,RB,264,14,44.07,52.55,B,B,1,698.2
17,RB,265,14,55.34,20.22,A,A,1,605.2
17,RB,266,14,32.58,16.94,B,B,1,780.0
17,RB,267,14,26.3,19.75,B,B,1,601.1
17,RB,268,14,58.93,17.79,A,A,1,805.3
