experiment,rat_id,trial,cage_context,scent,choice,reward,reaction_time,maze_run_time
exp2,22,1,wood,lemon,L,0,0.6505312996735567,3.813957346277502
exp2,22,2,mesh,none,L,0,0.6455111377463375,3.337152159466533
exp2,22,3,mesh,none,L,0,0.5367258135816563,3.318807729927111
exp2,22,4,mesh,none,R,1,0.7509886974426094,2.558679134271595
exp2,22,5,mesh,none,L,0,0.5249967643669434,3.827435221572202
exp2,22,6,wood,peppermint,R,1,0.5261747450021564,2.907057345417323
exp2,22,7,mesh,peppermint,L,0,0.7717203005713865,3.2850374917431178
exp2,22,8,mesh,peppermint,L,0,0.4897887762852185,3.7609804733779586
exp2,22,9,wood,none,L,0,0.47596187285281955,3.1285257353552316
exp2,22,10,mesh,lemon,L,1,0.6028521511546502,3.453347426229111
exp2,22,11,mesh,peppermint,L,1,0.7201680173981085,3.768661383042243
exp2,22,12,mesh,none,R,1,0.5157046451910428,2.6266168998139254
exp2,22,13,wood,peppermint,L,0,0.5920181934517889,3.1395300036563656
exp2,22,14,wood,peppermint,R,1,0.42598070049978415,3.7776984273741583
exp2,22,15,mesh,peppermint,R,0,0.5319657890853987,3.2940655181482263
exp2,22,16,wood,none,R,1,0.659013553214485,2.5833969944481017
exp2,22,17,mesh,peppermint,R,1,0.7451277281656853,2.648359399601373
exp2,22,18,wood,none,R,1,0.5229540019631375,3.0322359431544834
exp2,22,19,mesh,none,L,0,0.5339809321112173,3.3037363079992077
exp2,22,20,wood,peppermint,R,0,0.5199512019857147,3.2488371541093692
exp2,22,21,wood,lemon,R,0,0.48618967349086617,2.9780269957157497
exp2,22,22,mesh,peppermint,L,0,0.7862358802401146,3.6226625997059605
exp2,22,23,wood,none,L,1,0.5654914643536194,4.183108932084905
exp2,22,24,mesh,none,R,1,0.5406701417526004,4.138773102152429
exp2,22,25,mesh,lemon,L,0,0.7009092080625391,4.084368923880028
exp2,22,26,mesh,peppermint,L,0,0.5680636866202617,3.8974416251321804
exp2,22,27,mesh,peppermint,L,0,0.6654881701449674,3.944107855924364
exp2,22,28,mesh,peppermint,L,0,0.4287266583152548,3.2081481869955235
exp2,22,29,mesh,none,L,1,0.5683468015283026,2.474778302700215
exp2,22,30,wood,peppermint,R,1,0.6224235391596596,2.1901228698004616
exp2,22,31,wood,none,L,1,0.5419764109851865,2.161360415936137
exp2,22,32,wood,peppermint,R,0,0.6950595228252784,3.2861256030996215
exp2,22,33,wood,none,R,1,0.5351129659483835,2.6351709406235653
exp2,22,34,mesh,peppermint,R,0,0.5912633013934073,3.082086486599064
exp2,22,35,wood,none,R,1,0.4234344460338289,2.5430660527254214
exp2,22,36,mesh,lemon,R,0,0.665107178553675,3.555304915747224
exp2,22,37,mesh,lemon,R,0,0.43740064205736773,4.036595955402519
exp2,22,38,mesh,peppermint,L,0,0.7570050053674287,2.520642527301959
exp2,22,39,mesh,peppermint,L,0,0.4343844789533521,3.424212942051049
exp2,22,40,wood,lemon,L,0,0.5821473574210687,4.014493940435332
exp2,22,41,mesh,none,R,1,0.6734200590703421,3.1092421688420693
exp2,22,42,wood,none,R,0,0.6020124262596194,4.425646025388087
exp2,22,43,wood,none,L,0,0.6122752047164516,3.426988368380979
exp2,22,44,mesh,lemon,L,0,0.6447588743434103,3.7523439596776917
exp2,22,45,mesh,peppermint,L,0,0.6286713258454508,4.504693233306757
exp2,22,46,wood,peppermint,R,0,0.5592568940966994,3.890995683731799
exp2,22,47,mesh,none,L,1,0.6021178039010333,2.652687162120535
exp2,22,48,wood,peppermint,R,1,0.7267185510938581,3.275399712678056
