sub_id,group,day,block,sequence_type,mean_rt,prop_correct
26,older,1,1,predictable,508.48,0.9739
26,older,1,2,random,495.31,0.8794
26,older,1,3,predictable,467.11,0.9005
26,older,1,4,random,504.63,0.9342
26,older,2,5,predictable,473.87,0.909
26,older,2,6,random,507.59,0.89
26,older,2,7,predictable,450.82,0.9627
26,older,2,8,random,511.18,0.9112
26,older,3,9,predictable,474.75,0.975
26,older,3,10,random,490.11,0.9426
26,older,3,11,predictable,448.55,0.9465
26,older,3,12,random,528.34,0.8732
26,older,4,13,predictable,481.11,0.9564
26,older,4,14,random,514.24,0.9645
26,older,4,15,predictable,478.11,0.9176
26,older,4,16,random,491.9,0.8874
26,older,5,17,predictable,480.96,0.9619
26,older,5,18,random,515.49,0.9262
26,older,5,19,predictable,448.37,0.9952
26,older,5,20,random,519.63,0.8768
26,older,6,21,predictable,449.98,0.9254
26,older,6,22,random,515.51,0.9392
26,older,6,23,predictable,485.8,0.9825
26,older,6,24,random,529.16,0.9625
26,older,7,25,predictable,439.51,0.9357
26,older,7,26,random,568.92,0.8659
26,older,7,27,predictable,438.77,0.9314
26,older,7,28,random,502.1,0.8737
26,older,8,29,predictable,422.75,0.9821
26,older,8,30,random,533.15,0.8994
26,older,8,31,predictable,435.84,0.8843
26,older,8,32,random,504.96,0.9084
26,older,9,33,predictable,436.13,0.8997
26,older,9,34,random,496.83,0.9871
26,older,9,35,predictable,455.04,0.953
26,older,9,36,random,543.31,0.938
26,older,10,37,predictable,417.52,0.9673
26,older,10,38,random,508.6,0.9592
26,older,10,39,predictable,436.0,0.8988
26,older,10,40,random,504.71,0.908
26,older,11,41,predictable,437.44,0.9533
26,older,11,42,random,495.05,0.9113
26,older,11,43,predictable,445.16,1.0
26,older,11,44,random,521.26,0.8685
26,older,12,45,predictable,435.69,0.916
26,older,12,46,random,451.63,0.8912
26,older,12,47,predictable,447.09,0.9826
26,older,12,48,random,482.77,0.9261
26,older,13,49,predictable,466.59,0.9104
26,older,13,50,random,508.59,0.8445
26,older,13,51,predictable,425.34,0.9452
26,older,13,52,random,512.43,0.9176
26,older,14,53,predictable,415.2,0.9247
26,older,14,54,random,528.25,0.9413
26,older,14,55,predictable,413.22,0.8908
26,older,14,56,random,496.75,0.9183
26,older,15,57,predictable,455.78,0.9438
26,older,15,58,random,539.01,0.9319
26,older,15,59,predictable,412.98,0.9474
26,older,15,60,random,498.39,0.9408
