sub_id,group,day,block,sequence_type,mean_rt,prop_correct
1,young,1,1,predictable,409.17,0.9539
1,young,1,2,random,412.53,0.8807
1,young,1,3,predictable,390.69,0.8987
1,young,1,4,random,381.13,0.973
1,young,2,5,predictable,384.26,0.9983
1,young,2,6,random,403.97,0.931
1,young,2,7,predictable,360.83,0.9149
1,young,2,8,random,395.91,0.9157
1,young,3,9,predictable,344.39,0.8813
1,young,3,10,random,396.66,0.9223
1,young,3,11,predictable,385.71,0.8844
1,young,3,12,random,379.14,0.9003
1,young,4,13,predictable,329.06,0.9494
1,young,4,14,random,396.99,0.9414
1,young,4,15,predictable,359.92,0.9231
1,young,4,16,random,406.57,0.9377
1,young,5,17,predictable,322.52,0.9475
1,young,5,18,random,387.1,0.9366
1,young,5,19,predictable,327.64,0.9598
1,young,5,20,random,376.56,0.8932
1,young,6,21,predictable,320.24,0.957
1,young,6,22,random,409.79,0.9555
1,young,6,23,predictable,336.07,0.9041
1,young,6,24,random,395.06,0.926
1,young,7,25,predictable,314.61,0.8949
1,young,7,26,random,391.69,0.9018
1,young,7,27,predictable,321.5,0.9544
1,young,7,28,random,406.14,0.9488
1,young,8,29,predictable,332.17,0.9056
1,young,8,30,random,409.77,0.9318
1,young,8,31,predictable,310.52,0.9275
1,young,8,32,random,394.59,0.9336
1,young,9,33,predictable,314.13,0.9296
1,young,9,34,random,404.96,0.9048
1,young,9,35,predictable,301.43,0.9242
1,young,9,36,random,400.35,0.9198
1,young,10,37,predictable,296.83,0.9569
1,young,10,38,random,421.94,0.8299
1,young,10,39,predictable,309.84,0.9438
1,young,10,40,random,411.66,0.9007
1,young,11,41,predictable,290.03,0.974
1,young,11,42,random,364.1,0.9229
1,young,11,43,predictable,267.89,0.9517
1,young,11,44,random,399.78,0.964
1,young,12,45,predictable,308.37,0.9907
1,young,12,46,random,386.85,0.9517
1,young,12,47,predictable,286.59,0.9558
1,young,12,48,random,379.56,0.8635
1,young,13,49,predictable,273.94,0.962
1,young,13,50,random,396.46,0.9426
1,young,13,51,predictable,295.45,0.9082
1,young,13,52,random,405.47,0.9628
1,young,14,53,predictable,292.47,0.923
1,young,14,54,random,380.35,0.9534
1,young,14,55,predictable,324.88,0.9641
1,young,14,56,random,389.37,0.9137
1,young,15,57,predictable,290.46,0.9274
1,young,15,58,random,398.23,0.9086
1,young,15,59,predictable,317.47,0.9393
1,young,15,60,random,368.54,0.9101
2,young,1,1,predictable,450.57,0.9855
2,young,1,2,random,439.3,0.915
2,young,1,3,predictable,436.44,0.9235
2,young,1,4,random,437.15,0.9198
2,young,2,5,predictable,393.06,0.9823
2,young,2,6,random,424.54,0.9257
2,young,2,7,predictable,416.3,0.8994
2,young,2,8,random,455.45,0.8802
2,young,3,9,predictable,410.64,0.9323
2,young,3,10,random,423.78,0.8782
2,young,3,11,predictable,414.98,0.9439
2,young,3,12,random,454.97,0.8816
2,young,4,13,predictable,396.31,0.8927
2,young,4,14,random,431.97,0.8853
2,young,4,15,predictable,420.32,0.9553
2,young,4,16,random,449.89,0.9202
2,young,5,17,predictable,408.58,0.9386
2,young,5,18,random,419.73,0.916
2,young,5,19,predictable,418.65,0.983
2,young,5,20,random,413.38,0.9313
2,young,6,21,predictable,411.88,0.9157
2,young,6,22,random,418.54,0.9207
2,young,6,23,predictable,396.75,0.8985
2,young,6,24,random,417.97,0.8932
2,young,7,25,predictable,373.5,0.9411
2,young,7,26,random,462.59,0.9002
2,young,7,27,predictable,385.31,0.9797
2,young,7,28,random,441.53,0.8765
2,young,8,29,predictable,352.43,0.9402
2,young,8,30,random,434.97,0.9058
2,young,8,31,predictable,386.51,0.8718
2,young,8,32,random,427.56,0.9205
2,young,9,33,predictable,370.13,0.9113
2,young,9,34,random,420.02,0.8962
2,young,9,35,predictable,372.89,0.9605
2,young,9,36,random,431.96,0.8725
2,young,10,37,predictable,422.39,0.9417
2,young,10,38,random,416.11,0.9108
2,young,10,39,predictable,363.99,0.9596
2,young,10,40,random,443.88,0.8988
2,young,11,41,predictable,359.58,0.926
2,young,11,42,random,438.62,0.9205
2,young,11,43,predictable,373.73,0.9849
2,young,11,44,random,432.53,0.8849
2,young,12,45,predictable,365.43,0.8515
2,young,12,46,random,449.55,0.913
2,young,12,47,predictable,394.91,0.952
2,young,12,48,random,446.72,0.9181
2,young,13,49,predictable,393.03,0.9767
2,young,13,50,random,434.17,0.9321
2,young,13,51,predictable,378.89,0.9222
2,young,13,52,random,447.41,0.9184
2,young,14,53,predictable,375.2,0.94
2,young,14,54,random,424.12,0.8955
2,young,14,55,predictable,351.29,0.9676
2,young,14,56,random,429.21,0.9553
2,young,15,57,predictable,363.66,0.9609
2,young,15,58,random,434.68,0.9286
2,young,15,59,predictable,378.94,0.9817
2,young,15,60,random,424.33,0.8693
3,young,1,1,predictable,444.06,0.9341
3,young,1,2,random,442.76,0.8836
3,young,1,3,predictable,464.51,0.9609
3,young,1,4,random,456.88,0.9186
3,young,2,5,predictable,441.47,0.9469
3,young,2,6,random,468.59,0.9268
3,young,2,7,predictable,432.46,0.9252
3,young,2,8,random,441.65,0.8819
3,young,3,9,predictable,395.64,0.9841
3,young,3,10,random,452.92,0.9217
3,young,3,11,predictable,399.0,0.9343
3,young,3,12,random,443.54,0.8701
3,young,4,13,predictable,388.11,0.9643
3,young,4,14,random,468.36,0.893
3,young,4,15,predictable,368.21,0.9395
3,young,4,16,random,459.72,0.8433
3,young,5,17,predictable,371.48,0.9145
3,young,5,18,random,450.14,0.8905
3,young,5,19,predictable,356.07,0.9569
3,young,5,20,random,481.48,0.9059
3,young,6,21,predictable,372.43,0.9673
3,young,6,22,random,463.25,0.8784
3,young,6,23,predictable,365.42,0.9262
3,young,6,24,random,450.76,0.9347
3,young,7,25,predictable,376.43,0.9243
3,young,7,26,random,453.48,1.0
3,young,7,27,predictable,348.44,0.9377
3,young,7,28,random,448.41,0.925
3,young,8,29,predictable,351.15,0.9147
3,young,8,30,random,405.49,0.9241
3,young,8,31,predictable,333.21,0.9478
3,young,8,32,random,445.15,0.9391
3,young,9,33,predictable,351.17,0.9609
3,young,9,34,random,458.32,0.9719
3,young,9,35,predictable,360.47,0.9505
3,young,9,36,random,427.06,0.8877
3,young,10,37,predictable,341.38,0.9357
3,young,10,38,random,452.39,0.8905
3,young,10,39,predictable,360.95,0.9188
3,young,10,40,random,460.52,0.9307
3,young,11,41,predictable,316.11,0.9132
3,young,11,42,random,438.8,0.9344
3,young,11,43,predictable,337.33,0.974
3,young,11,44,random,466.0,0.9254
3,young,12,45,predictable,327.44,0.9121
3,young,12,46,random,449.48,0.946
3,young,12,47,predictable,359.41,0.9221
3,young,12,48,random,456.16,0.9197
3,young,13,49,predictable,300.65,0.9614
