monkey_id,group,trial,cue,trial_type,correct,rt
4,fast-switcher,1,red,switch,1,0.475
4,fast-switcher,2,blue,switch,1,0.3872
4,fast-switcher,3,red,switch,1,0.504
4,fast-switcher,4,blue,switch,1,0.4778
4,fast-switcher,5,red,switch,1,0.4527
4,fast-switcher,6,blue,switch,1,0.4721
4,fast-switcher,7,red,switch,1,0.5012
4,fast-switcher,8,red,repeat,1,0.4758
4,fast-switcher,9,red,repeat,1,0.3754
4,fast-switcher,10,red,repeat,1,0.3952
4,fast-switcher,11,blue,switch,1,0.5249
4,fast-switcher,12,red,switch,1,0.4518
4,fast-switcher,13,blue,switch,1,0.4756
4,fast-switcher,14,red,switch,1,0.5395
4,fast-switcher,15,red,repeat,1,0.3772
4,fast-switcher,16,blue,switch,1,0.5125
4,fast-switcher,17,blue,repeat,1,0.3864
4,fast-switcher,18,blue,repeat,1,0.4982
4,fast-switcher,19,blue,repeat,0,0.4429
4,fast-switcher,20,blue,repeat,1,0.4083
4,fast-switcher,21,blue,repeat,0,0.415
4,fast-switcher,22,blue,repeat,1,0.4687
4,fast-switcher,23,red,switch,1,0.5657
4,fast-switcher,24,red,repeat,1,0.4268
4,fast-switcher,25,red,repeat,1,0.4701
4,fast-switcher,26,blue,switch,0,0.4984
4,fast-switcher,27,red,switch,1,0.4058
4,fast-switcher,28,red,repeat,1,0.4937
4,fast-switcher,29,blue,switch,1,0.4111
4,fast-switcher,30,blue,repeat,1,0.4247
4,fast-switcher,31,red,switch,1,0.592
4,fast-switcher,32,red,repeat,1,0.4425
4,fast-switcher,33,red,repeat,1,0.5038
4,fast-switcher,34,blue,switch,1,0.4265
4,fast-switcher,35,blue,repeat,1,0.4456
4,fast-switcher,36,blue,repeat,1,0.2999
4,fast-switcher,37,blue,repeat,0,0.4121
4,fast-switcher,38,blue,repeat,1,0.3955
4,fast-switcher,39,red,switch,1,0.5689
4,fast-switcher,40,red,repeat,1,0.4138
4,fast-switcher,41,blue,switch,1,0.6216
4,fast-switcher,42,blue,repeat,1,0.4162
4,fast-switcher,43,red,switch,0,0.5499
4,fast-switcher,44,red,repeat,1,0.4545
4,fast-switcher,45,red,repeat,1,0.4694
4,fast-switcher,46,red,repeat,1,0.521
4,fast-switcher,47,blue,switch,1,0.4787
4,fast-switcher,48,blue,repeat,1,0.4059
4,fast-switcher,49,blue,repeat,1,0.5185
4,fast-switcher,50,red,switch,1,0.5566
4,fast-switcher,51,red,repeat,1,0.4009
4,fast-switcher,52,red,repeat,1,0.4107
4,fast-switcher,53,blue,switch,0,0.5436
4,fast-switcher,54,red,switch,1,0.5129
4,fast-switcher,55,red,repeat,1,0.6117
4,fast-switcher,56,blue,switch,1,0.5
4,fast-switcher,57,blue,repeat,1,0.3842
4,fast-switcher,58,red,switch,1,0.5376
4,fast-switcher,59,blue,switch,1,0.3263
4,fast-switcher,60,blue,repeat,1,0.3487
4,fast-switcher,61,red,switch,1,0.6211
4,fast-switcher,62,blue,switch,1,0.5376
4,fast-switcher,63,blue,repeat,1,0.3601
4,fast-switcher,64,blue,repeat,1,0.4538
4,fast-switcher,65,blue,repeat,1,0.3047
4,fast-switcher,66,blue,repeat,1,0.4322
4,fast-switcher,67,blue,repeat,1,0.5401
4,fast-switcher,68,red,switch,1,0.5394
4,fast-switcher,69,red,repeat,1,0.336
4,fast-switcher,70,blue,switch,1,0.4267
4,fast-switcher,71,red,switch,0,0.5478
4,fast-switcher,72,red,repeat,1,0.436
4,fast-switcher,73,red,repeat,1,0.4137
4,fast-switcher,74,red,repeat,1,0.3781
4,fast-switcher,75,blue,switch,1,0.4919
4,fast-switcher,76,red,switch,1,0.5342
4,fast-switcher,77,blue,switch,1,0.5039
4,fast-switcher,78,blue,repeat,1,0.4105
4,fast-switcher,79,blue,repeat,1,0.5224
4,fast-switcher,80,red,switch,1,0.4778
4,fast-switcher,81,blue,switch,1,0.4981
4,fast-switcher,82,blue,repeat,1,0.4443
4,fast-switcher,83,red,switch,1,0.4851
4,fast-switcher,84,red,repeat,1,0.4032
4,fast-switcher,85,red,repeat,1,0.3627
4,fast-switcher,86,red,repeat,1,0.5397
4,fast-switcher,87,red,repeat,1,0.4096
4,fast-switcher,88,red,repeat,1,0.4531
4,fast-switcher,89,red,repeat,1,0.4736
4,fast-switcher,90,red,repeat,1,0.4643
4,fast-switcher,91,blue,switch,0,0.4345
4,fast-switcher,92,blue,repeat,1,0.4274
4,fast-switcher,93,blue,repeat,1,0.4296
4,fast-switcher,94,blue,repeat,1,0.5012
4,fast-switcher,95,blue,repeat,1,0.3358
4,fast-switcher,96,blue,repeat,0,0.3818
4,fast-switcher,97,blue,repeat,1,0.4473
4,fast-switcher,98,red,switch,1,0.5752
4,fast-switcher,99,blue,switch,1,0.488
4,fast-switcher,100,red,switch,1,0.4829
4,fast-switcher,101,blue,switch,1,0.5259
4,fast-switcher,102,blue,repeat,1,0.3367
4,fast-switcher,103,blue,repeat,0,0.4438
4,fast-switcher,104,red,switch,1,0.5541
4,fast-switcher,105,blue,switch,1,0.4125
4,fast-switcher,106,red,switch,1,0.4261
4,fast-switcher,107,red,repeat,1,0.4669
4,fast-switcher,108,blue,switch,0,0.4928
4,fast-switcher,109,red,switch,0,0.5005
4,fast-switcher,110,red,repeat,1,0.3748
4,fast-switcher,111,red,repeat,1,0.3857
4,fast-switcher,112,blue,switch,1,0.4779
4,fast-switcher,113,blue,repeat,1,0.3941
4,fast-switcher,114,red,switch,1,0.5384
4,fast-switcher,115,red,repeat,1,0.4471
4,fast-switcher,116,red,repeat,1,0.4113
4,fast-switcher,117,red,repeat,1,0.3818
4,fast-switcher,118,red,repeat,1,0.4462
4,fast-switcher,119,blue,switch,1,0.5273
4,fast-switcher,120,blue,repeat,1,0.4001
4,fast-switcher,121,red,switch,1,0.6013
4,fast-switcher,122,blue,switch,1,0.425
4,fast-switcher,123,blue,repeat,1,0.4873
4,fast-switcher,124,blue,repeat,1,0.4566
4,fast-switcher,125,red,switch,1,0.4542
4,fast-switcher,126,red,repeat,1,0.3959
4,fast-switcher,127,red,repeat,1,0.3846
4,fast-switcher,128,blue,switch,1,0.4421
4,fast-switcher,129,blue,repeat,1,0.4167
4,fast-switcher,130,red,switch,1,0.476
4,fast-switcher,131,blue,switch,1,0.4142
4,fast-switcher,132,red,switch,1,0.4267
4,fast-switcher,133,red,repeat,1,0.4176
4,fast-switcher,134,blue,switch,1,0.4682
4,fast-switcher,135,red,switch,1,0.4099
4,fast-switcher,136,red,repeat,1,0.4567
4,fast-switcher,137,blue,switch,1,0.488
4,fast-switcher,138,red,switch,1,0.491
4,fast-switcher,139,red,repeat,1,0.4157
4,fast-switcher,140,red,repeat,1,0.3636
4,fast-switcher,141,blue,switch,1,0.4461
4,fast-switcher,142,red,switch,1,0.5694
4,fast-switcher,143,blue,switch,1,0.5184
4,fast-switcher,144,blue,repeat,1,0.3836
4,fast-switcher,145,red,switch,1,0.4765
4,fast-switcher,146,red,repeat,1,0.3734
4,fast-switcher,147,red,repeat,1,0.4382
4,fast-switcher,148,blue,switch,1,0.5306
4,fast-switcher,149,red,switch,0,0.5082
4,fast-switcher,150,red,repeat,1,0.4648
4,fast-switcher,151,red,repeat,1,0.3649
4,fast-switcher,152,blue,switch,1,0.5055
4,fast-switcher,153,red,switch,0,0.6627
4,fast-switcher,154,blue,switch,1,0.5228
4,fast-switcher,155,blue,repeat,1,0.4172
4,fast-switcher,156,red,switch,1,0.3941
4,fast-switcher,157,red,repeat,1,0.4369
4,fast-switcher,158,red,repeat,1,0.4499
4,fast-switcher,159,blue,switch,1,0.588
4,fast-switcher,160,blue,repeat,1,0.4628
4,fast-switcher,161,red,switch,1,0.5109
4,fast-switcher,162,red,repeat,1,0.4797
4,fast-switcher,163,blue,switch,1,0.494
4,fast-switcher,164,blue,repeat,1,0.5563
4,fast-switcher,165,red,switch,1,0.4248
4,fast-switcher,166,blue,switch,1,0.4865
4,fast-switcher,167,red,switch,1,0.4685
4,fast-switcher,168,red,repeat,1,0.4606
4,fast-switcher,169,red,repeat,1,0.4125
4,fast-switcher,170,red,repeat,1,0.3279
4,fast-switcher,171,blue,switch,1,0.4628
4,fast-switcher,172,blue,repeat,1,0.3876
4,fast-switcher,173,blue,repeat,1,0.4891
4,fast-switcher,174,red,switch,0,0.5426
4,fast-switcher,175,red,repeat,1,0.4782
4,fast-switcher,176,blue,switch,1,0.5368
4,fast-switcher,177,blue,repeat,1,0.4667
4,fast-switcher,178,blue,repeat,1,0.519
4,fast-switcher,179,red,switch,1,0.5286
4,fast-switcher,180,blue,switch,1,0.5519
4,fast-switcher,181,blue,repeat,1,0.3594
4,fast-switcher,182,red,switch,1,0.4363
4,fast-switcher,183,red,repeat,1,0.424
4,fast-switcher,184,red,repeat,1,0.4394
4,fast-switcher,185,red,repeat,1,0.3528
4,fast-switcher,186,red,repeat,1,0.4307
4,fast-switcher,187,blue,switch,1,0.6161
4,fast-switcher,188,red,switch,1,0.4854
4,fast-switcher,189,blue,switch,1,0.4283
4,fast-switcher,190,red,switch,1,0.5433
4,fast-switcher,191,blue,switch,1,0.5362
4,fast-switcher,192,blue,repeat,1,0.4286
4,fast-switcher,193,red,switch,1,0.4674
